Wavelength	Intensity
1.008000000000E+3	5.046666666667E+1
1.008046920821E+3	5.070000000000E+1
1.008093841642E+3	5.136666666667E+1
1.008140762463E+3	5.616666666667E+1
1.008187683284E+3	5.563333333333E+1
1.008234604106E+3	5.683333333333E+1
1.008281524927E+3	5.773333333333E+1
1.008328445748E+3	5.846666666667E+1
1.008375366569E+3	6.040000000000E+1
1.008422287390E+3	6.113333333333E+1
1.008469208211E+3	6.363333333333E+1
1.008516129032E+3	7.043333333333E+1
1.008563049853E+3	6.933333333333E+1
1.008609970674E+3	7.266666666667E+1
1.008656891496E+3	7.526666666667E+1
1.008703812317E+3	7.686666666667E+1
1.008750733138E+3	8.043333333333E+1
1.008797653959E+3	8.413333333333E+1
1.008844574780E+3	8.673333333333E+1
1.008891495601E+3	9.460000000000E+1
1.008938416422E+3	9.903333333333E+1
1.008985337243E+3	9.996666666667E+1
1.009032258065E+3	1.059666666667E+2
1.009079178886E+3	1.100666666667E+2
1.009126099707E+3	1.150000000000E+2
1.009173020528E+3	1.210000000000E+2
1.009219941349E+3	1.265333333333E+2
1.009266862170E+3	1.424000000000E+2
1.009313782991E+3	1.486333333333E+2
1.009360703812E+3	1.592666666667E+2
1.009407624633E+3	1.667333333333E+2
1.009454545455E+3	1.777000000000E+2
1.009501466276E+3	1.898666666667E+2
1.009548387097E+3	2.004000000000E+2
1.009595307918E+3	2.140666666667E+2
1.009642228739E+3	2.420000000000E+2
1.009689149560E+3	2.601333333333E+2
1.009736070381E+3	2.781000000000E+2
1.009782991202E+3	3.011666666667E+2
1.009829912023E+3	3.224333333333E+2
1.009876832845E+3	3.468000000000E+2
1.009923753666E+3	3.759666666667E+2
1.009970674487E+3	4.057666666667E+2
1.010017595308E+3	4.729000000000E+2
1.010064516129E+3	5.125000000000E+2
1.010111436950E+3	5.575000000000E+2
1.010158357771E+3	6.038333333333E+2
1.010205278592E+3	6.563000000000E+2
1.010252199413E+3	7.078333333333E+2
1.010299120235E+3	7.700000000000E+2
1.010346041056E+3	8.370000000000E+2
1.010392961877E+3	9.899000000000E+2
1.010439882698E+3	1.071400000000E+3
1.010486803519E+3	1.161366666667E+3
1.010533724340E+3	1.259666666667E+3
1.010580645161E+3	1.364066666667E+3
1.010627565982E+3	1.472200000000E+3
1.010674486804E+3	1.592700000000E+3
1.010721407625E+3	1.716000000000E+3
1.010768328446E+3	1.989033333333E+3
1.010815249267E+3	2.137400000000E+3
1.010862170088E+3	2.292100000000E+3
1.010909090909E+3	2.428766666667E+3
1.010956011730E+3	2.581666666667E+3
1.011002932551E+3	2.729433333333E+3
1.011049853372E+3	2.874433333333E+3
1.011096774194E+3	3.025233333333E+3
1.011143695015E+3	3.327466666667E+3
1.011190615836E+3	3.489800000000E+3
1.011237536657E+3	3.664000000000E+3
1.011284457478E+3	3.834100000000E+3
1.011331378299E+3	4.012366666667E+3
1.011378299120E+3	4.186233333333E+3
1.011425219941E+3	4.355800000000E+3
1.011472140762E+3	4.518400000000E+3
1.011519061584E+3	4.819266666667E+3
1.011565982405E+3	4.955866666667E+3
1.011612903226E+3	5.087300000000E+3
1.011659824047E+3	5.206466666667E+3
1.011706744868E+3	5.323733333333E+3
1.011753665689E+3	5.445366666667E+3
1.011800586510E+3	5.563700000000E+3
1.011847507331E+3	5.816300000000E+3
1.011894428152E+3	5.947300000000E+3
1.011941348974E+3	6.078966666667E+3
1.011988269795E+3	6.206200000000E+3
1.012035190616E+3	6.322566666667E+3
1.012082111437E+3	6.424300000000E+3
1.012129032258E+3	6.511833333333E+3
1.012175953079E+3	6.589200000000E+3
1.012222873900E+3	6.744733333333E+3
1.012269794721E+3	6.830366666667E+3
1.012316715543E+3	6.927800000000E+3
1.012363636364E+3	7.027600000000E+3
1.012410557185E+3	7.126700000000E+3
1.012457478006E+3	7.226866666667E+3
1.012504398827E+3	7.315333333333E+3
1.012551319648E+3	7.401733333333E+3
1.012598240469E+3	7.542166666667E+3
1.012645161290E+3	7.602266666667E+3
1.012692082111E+3	7.663166666667E+3
1.012739002933E+3	7.717733333333E+3
1.012785923754E+3	7.772133333333E+3
1.012832844575E+3	7.821166666667E+3
1.012879765396E+3	7.861100000000E+3
1.012926686217E+3	7.904800000000E+3
1.012973607038E+3	7.988866666667E+3
1.013020527859E+3	8.034400000000E+3
1.013067448680E+3	8.084000000000E+3
1.013114369501E+3	8.137200000000E+3
1.013161290323E+3	8.189133333333E+3
1.013208211144E+3	8.238333333333E+3
1.013255131965E+3	8.286500000000E+3
1.013302052786E+3	8.331733333333E+3
1.013348973607E+3	8.418166666667E+3
1.013395894428E+3	8.455766666667E+3
1.013442815249E+3	8.494033333333E+3
1.013489736070E+3	8.525066666667E+3
1.013536656891E+3	8.549400000000E+3
1.013583577713E+3	8.561533333333E+3
1.013630498534E+3	8.558933333333E+3
1.013677419355E+3	8.547700000000E+3
